TOTAL,2016-09-20,TCSERVER01,WalletHandler,2700393,100
< 1m,2016-09-20,TCSERVER02,ADCBuddyhandler,2827620,26.0840543389
> 1m - 2m,2016-09-20,TCSERVER02,ADCBuddyhandler,1010838,9.3247159519
> 2m - 3m,2016-09-20,TCSERVER02,ADCBuddyhandler,755674,6.9708948439
> 3m - 5m,2016-09-20,TCSERVER02,ADCBuddyhandler,796173,7.3444875178
> 5m - 10m,2016-09-20,TCSERVER02,ADCBuddyhandler,979292,9.0337123594
> 10m - 15m,2016-09-20,TCSERVER02,ADCBuddyhandler,807646,7.4503229396
> 15m - 20m,2016-09-20,TCSERVER02,ADCBuddyhandler,599549,5.5306825864
> 20m - 30m,2016-09-20,TCSERVER02,ADCBuddyhandler,814387,7.5125069001
> 30m,2016-09-20,TCSERVER02,ADCBuddyhandler,2249237,20.7486225621
TOTAL,2016-09-20,TCSERVER02,ADCBuddyhandler,10840416,100
< 1m,2016-09-20,TCSERVER02,ADCTNThandler,3200633,46.2928496610
> 1m - 2m,2016-09-20,TCSERVER02,ADCTNThandler,1602511,23.1781653201
> 2m - 3m,2016-09-20,TCSERVER02,ADCTNThandler,921467,13.3277802543
> 3m - 5m,2016-09-20,TCSERVER02,ADCTNThandler,726959,10.5144837589
> 5m - 10m,2016-09-20,TCSERVER02,ADCTNThandler,462285,6.6863304870
> 10m - 15m,2016-09-20,TCSERVER02,ADCTNThandler,27,0.0003905187
> 15m - 20m,2016-09-20,TCSERVER02,ADCTNThandler,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER02,ADCTNThandler,0,0.0000000000
> 30m,2016-09-20,TCSERVER02,ADCTNThandler,0,0.0000000000
TOTAL,2016-09-20,TCSERVER02,ADCTNThandler,6913882,100
< 1m,2016-09-20,TCSERVER02,CDRAdapter,15062099,77.3857287412
> 1m - 2m,2016-09-20,TCSERVER02,CDRAdapter,4401566,22.6142712588
> 2m - 3m,2016-09-20,TCSERVER02,CDRAdapter,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER02,CDRAdapter,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER02,CDRAdapter,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER02,CDRAdapter,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER02,CDRAdapter,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER02,CDRAdapter,0,0.0000000000
> 30m,2016-09-20,TCSERVER02,CDRAdapter,0,0.0000000000
TOTAL,2016-09-20,TCSERVER02,CDRAdapter,19463665,100
< 1m,2016-09-20,TCSERVER02,Notification,433287,100.0000000000
> 1m - 2m,2016-09-20,TCSERVER02,Notification,0,0.0000000000
> 2m - 3m,2016-09-20,TCSERVER02,Notification,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER02,Notification,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER02,Notification,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER02,Notification,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER02,Notification,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER02,Notification,0,0.0000000000
> 30m,2016-09-20,TCSERVER02,Notification,0,0.0000000000
TOTAL,2016-09-20,TCSERVER02,Notification,433287,100
< 1m,2016-09-20,TCSERVER02,ServiceEventHandler,1709367,100.0000000000
> 1m - 2m,2016-09-20,TCSERVER02,ServiceEventHandler,0,0.0000000000
> 2m - 3m,2016-09-20,TCSERVER02,ServiceEventHandler,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER02,ServiceEventHandler,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER02,ServiceEventHandler,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER02,ServiceEventHandler,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER02,ServiceEventHandler,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER02,ServiceEventHandler,0,0.0000000000
> 30m,2016-09-20,TCSERVER02,ServiceEventHandler,0,0.0000000000
TOTAL,2016-09-20,TCSERVER02,ServiceEventHandler,1709367,100
< 1m,2016-09-20,TCSERVER02,SMSGateway,260918,100.0000000000
> 1m - 2m,2016-09-20,TCSERVER02,SMSGateway,0,0.0000000000
> 2m - 3m,2016-09-20,TCSERVER02,SMSGateway,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER02,SMSGateway,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER02,SMSGateway,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER02,SMSGateway,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER02,SMSGateway,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER02,SMSGateway,0,0.0000000000
> 30m,2016-09-20,TCSERVER02,SMSGateway,0,0.0000000000
TOTAL,2016-09-20,TCSERVER02,SMSGateway,260918,100
< 1m,2016-09-20,TCSERVER02,WalletHandler,445804,16.5046512859
> 1m - 2m,2016-09-20,TCSERVER02,WalletHandler,129899,4.8091486335
> 2m - 3m,2016-09-20,TCSERVER02,WalletHandler,84188,3.1168261892
> 3m - 5m,2016-09-20,TCSERVER02,WalletHandler,63248,2.3415810189
> 5m - 10m,2016-09-20,TCSERVER02,WalletHandler,117538,4.3515170408
> 10m - 15m,2016-09-20,TCSERVER02,WalletHandler,39813,1.4739654235
> 15m - 20m,2016-09-20,TCSERVER02,WalletHandler,173062,6.4071384753
> 20m - 30m,2016-09-20,TCSERVER02,WalletHandler,301775,11.1723787624
> 30m,2016-09-20,TCSERVER02,WalletHandler,1345754,49.8227931706
TOTAL,2016-09-20,TCSERVER02,WalletHandler,2701081,100
